"cdlinha","cdlinhapai","nulinha","deorigem","dedestino","dedescricao","slic","nupermissionarios","delinhaoutorga","delinhaservico","declassificacaoveiculo","derazaosocial","decnpjmatriz","boativo"
192,,"082A.CAR",SALVADOR,SERROLÂNDIA,"082A.CAR - SALVADOR - SERROLÂNDIA VIA MAIRI",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL COM AR-CONDICIONADO,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
482,,"208",VITÓRIA DA CONQUISTA,CALDEIRÃO,"208 - VITÓRIA DA CONQUISTA - CALDEIRÃO",,,CONTRATO DE CONCESSÃO - TAC,CONTRATADO - TAC,COMERCIAL,VIAÇÃO NOVO HORIZONTE LTDA,"60829264000184",true
1247,,"592",BARREIRAS,XIQUE-XIQUE,"592 - BARREIRAS - XIQUE-XIQUE",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,EMTRAM EMPRESA DE TRANSPORTES MACAUBENSE LTDA,"16041592000120",true
431,,"192.DCO",SALVADOR,ITABUNA,"192.DCO - SALVADOR - ITABUNA VIA BR101",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,DIFERENCIADO CONJUGADO,VIAÇÃO ÁGUIA BRANCA S/A,"27486182000109",true
1433,,"746",IRECÊ,HIDROLÂNDIA,"746 - IRECÊ - HIDROLÂNDIA VIA UIBAÍ/PRESIDENTE DUTRA",,,CONTRATO DE CONCESSÃO,CONTRATADO,COMERCIAL,GEIBSON DEAN TEIXEIRA CARVALHO,"12819654000120",true
729,,"309.EXE",SALVADOR,IRARÁ,"309.EXE - SALVADOR - IRARÁ VIA CORAÇÃO DE MARIA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,EXECUTIVO,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
709,,"298",SALVADOR,MURITIBA,"298 - SALVADOR - MURITIBA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIACAO JAUA LTDA,"01767998000117",true
1300,,"612",SALVADOR,EUNÁPOLIS,"612 - SALVADOR - EUNÁPOLIS",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO ÁGUIA BRANCA S/A,"27486182000109",true
1118,,"534",IPUPIARA,IBOTIRAMA,"534 - IPUPIARA - IBOTIRAMA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO NOVO HORIZONTE LTDA,"60829264000184",true
1072,,"510",SALVADOR,MORRO DO CHAPÉU,"510 - SALVADOR - MORRO DO CHAPÉU VIA IPIRÁ",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
1645,,"876.URB",SIMÕES FILHO,AREIA BRANCA,"876.URB - SIMÕES FILHO - AREIA BRANCA VIA CEASA",,,CONTRATO EMERGENCIAL,CONTRATADO,SEMIURBANO,CONFORTRANS TRANSPORTES EIRELI,"18506518000167",true
160,,"073.LEX",SALVADOR,JUAZEIRO,"073.LEX - SALVADOR - JUAZEIRO VIA CAPIM GROSSO",,,CONTRATO DE CONCESSÃO,DIFERENCIADO,LEITO EXECUTIVO,ROTA TRANSPORTES RODOVIARIOS LTDA,"14492342000180",true
404,,"179.URB",ITABUNA,BARRO PRETO,"179.URB - ITABUNA - BARRO PRETO",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,SEMIURBANO,ROTA TRANSPORTES RODOVIARIOS LTDA,"14492342000180",true
199,,"085",SALVADOR,FEIRA DE SANTANA,"085 - SALVADOR - FEIRA DE SANTANA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
489,,"212R",VITÓRIA DA CONQUISTA,POÇÕES,"212R - VITÓRIA DA CONQUISTA - POÇÕES",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIACAO SALUTARIS E TURISMO S/A,"32285454000142",true
535,,"229",SERRINHA,LAMARÃO,"229 - SERRINHA - LAMARÃO",,,CONTRATO DE CONCESSÃO,CONTRATADO,COMERCIAL,PLENNA TRANSPORTES E SERVIÇOS LTDA,"16496572000143",true
1246,,"591A",SEABRA,ABAÍRA,"591A - SEABRA - ABAÍRA VIA PIATÃ",,,TERMO DE PERMISSÃO,ADICIONAL,COMERCIAL,EMTRAM EMPRESA DE TRANSPORTES MACAUBENSE LTDA,"16041592000120",true
394,,"172A.EXE",ITACARÉ,VITÓRIA DA CONQUISTA,"172A.EXE - ITACARÉ - VITÓRIA DA CONQUISTA VIA ITAPETINGA",,,CONTRATO DE CONCESSÃO - TAC,DIFERENCIADO,EXECUTIVO,ROTA TRANSPORTES RODOVIARIOS LTDA,"14492342000180",true
101,,"050.UMIC",CANDEIAS,SÃO SEBASTIÃO DO PASSÉ,"050.UMIC - CANDEIAS - SÃO SEBASTIÃO DO PASSÉ",,,AUTORIZAÇÃO,DIFERENCIADO,MICRO COMERCIAL,CASTTUR AGÊNCIA OPERADORA DE TURISMO E TRANSPORTES LTDA,"07405588000102",true
889,,"402",JEQUIÉ,VALENÇA,"402 - JEQUIÉ - VALENÇA VIA JAGUAQUARA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,AUTO VIAÇÃO CAMURUJIPE LTDA,"15890809000103",true
321,,"138A",SALVADOR,IMBASSAÍ,"138A - SALVADOR - IMBASSAÍ",,,CONTRATO EMERGENCIAL,CONTRATADO,COMERCIAL,ATLANTICO TRANSPORTES LTDA,"08380889000191",true
643,,"264",SALVADOR, JUAZEIRO,"264 - SALVADOR - JUAZEIRO VIA BR116",,,CONTRATO DE CONCESSÃO,CONTRATADO,COMERCIAL,ROTA TRANSPORTES RODOVIARIOS LTDA,"14492342000180",true
1282,,"602XE",PORTO SEGURO,VITÓRIA DA CONQUISTA,"602XE - PORTO SEGURO - VITÓRIA DA CONQUISTA VIA BA670",,,CONTRATO DE CONCESSÃO - TAC,ADICIONAL,COMERCIAL,EXPRESSO BRASILEIRO TRANSPORTES LTDA,"13406285000107",true
274,,"112X2",JEQUIÉ,CAMPINHO,"112X2 - JEQUIÉ - CAMPINHO",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
175,,"076",SALVADOR,SENHOR DO BONFIM,"076 - SALVADOR - SENHOR DO BONFIM",,,CONTRATO DE CONCESSÃO,CONTRATADO,COMERCIAL,ROTA TRANSPORTES RODOVIARIOS LTDA,"14492342000180",true
1818,,"2033",LAFAYETE COUTINHO,JEQUIÉ,"2033 - LAFAYETE COUTINHO - JEQUIÉ",true,5,TERMO DE PERMISSÃO,CONTRATADO,MICRO COMERCIAL,,,true
1407,,"704",SALVADOR,ITANAGRA,"704 - SALVADOR - ITANAGRA VIA ARAÇÁS",,,CONTRATO DE CONCESSÃO,CONTRATADO,COMERCIAL,JOSE AGUINELO DE SANTANA FILHO  - EIRELI,"00792706000133",true
1184,,"562E",JEQUIÉ,MARACÁS,"562E - JEQUIÉ - MARACÁS VIA ITIRUÇU",,,CONTRATO DE CONCESSÃO,CONTRATADO,COMERCIAL,AUTO VIAÇÃO CAMURUJIPE LTDA,"15890809000103",true
732,,"310R",ITIÚBA,SENHOR DO BONFIM,"310R - ITIÚBA - SENHOR DO BONFIM",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,MATHEUS SERRAVALLE & CIA LTDA,"73586232000147",true
1000,,"466A",BARREIRAS,BURITIRAMA,"466A - BARREIRAS - BURITIRAMA VIA SÃO JOSÉ",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,EMTRAM EMPRESA DE TRANSPORTES MACAUBENSE LTDA,"16041592000120",true
766,,"328.EXE",SALVADOR,IRECÊ,"328.EXE - SALVADOR - IRECÊ",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,EXECUTIVO,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
1813,,"2027",BARREIRAS,CRISTÓPOLIS,"2027 - BARREIRAS - CRISTÓPOLIS",true,2,TERMO DE PERMISSÃO,CONTRATADO,MICRO COMERCIAL,,,true
1898,,"2059",BARREIRAS,CADETE (POV WANDERLEY) ,"2059 - BARREIRAS - CADETE (POV WANDERLEY) VIA WANDERLEY",true,1,TERMO DE PERMISSÃO,CONTRATADO,COMERCIAL,,,true
15,,"010A",ITABUNA,IBOTIRAMA,"010A - ITABUNA - IBOTIRAMA VIA SÍTIO DO MATO",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO NOVO HORIZONTE LTDA,"60829264000184",true
1559,,"844.URB",CAMAÇARI,NOVA DIAS D'ÁVILA,"844.URB - CAMAÇARI - NOVA DIAS D'ÁVILA VIA BA093",,,CONTRATO DE CONCESSÃO,CONTRATADO,SEMIURBANO,UNIVALE TRANSPORTES LTDA,"65107971000180",true
329,,"145",SALVADOR,SEABRA,"145 - SALVADOR - SEABRA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,RAPIDO FEDERAL VIACAO LIMITADA,"25634569000130",true
1888,,"922.URB",LAURO DE FREITAS,TERMINAL PITUAÇU,"922.URB - LAURO DE FREITAS - TERMINAL PITUAÇU VIA AV ORLANDO GOMES E AV PARALELA",,,CONTRATO DE CONCESSÃO,CONTRATADO,SEMIURBANO,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
478,,"207A",VARGITO,GUANAMBI,"207A - VARGITO - GUANAMBI VIA ITAPETINGA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIACAO SALUTARIS E TURISMO S/A,"32285454000142",true
375,,"165",SALVADOR,CASTRO ALVES,"165 - SALVADOR - CASTRO ALVES  VIA BR 101",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,AUTO VIAÇÃO CAMURUJIPE LTDA,"15890809000103",true
1062,,"503.CAR",SALVADOR,CAFARNAUM,"503.CAR - SALVADOR - CAFARNAUM",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
280,,"115A.CAR",SALVADOR,IPIAÚ,"115A.CAR - SALVADOR - IPIAÚ VIA BR101",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO ÁGUIA BRANCA S/A,"27486182000109",true
1841,,"2158",JUAZEIRO,SANTANA DO SOBRADO (DIST CASA NOVA),"2158 - JUAZEIRO - SANTANA DO SOBRADO (DIST CASA NOVA)",true,21,TERMO DE PERMISSÃO,CONTRATADO,MICRO COMERCIAL,,,true
737,,"314",SALVADOR,QUEIMADAS,"314 - SALVADOR - QUEIMADAS",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,EXPRESSO SÃO MATHEUS LTDA,"14671572000107",true
1509,,"819I2.URB",SIMÕES FILHO,TERMINAL MUSSURUNGA,"819I2.URB - SIMÕES FILHO - TERMINAL MUSSURUNGA",,,CONTRATO DE CONCESSÃO,ADICIONAL,SEMIURBANO,EXPRESSO METROPOLITANO TRANSPORTES LTDA,"07617476000115",true
1354,,"645I.CAR",BOM DESPACHO,ITABUNA,"645I.CAR - BOM DESPACHO - ITABUNA VIA BA001 / ITACARÉ",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL COM AR-CONDICIONADO,VIAÇÃO ÁGUIA BRANCA S/A,"27486182000109",true
121,,"056",SALVADOR,IPIAÚ,"056 - SALVADOR - IPIAÚ",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,AUTO VIAÇÃO CAMURUJIPE LTDA,"15890809000103",true
1872,,"2295",SEABRA,GUINÉ (DIST DE MUCUGÊ),"2295 - SEABRA - GUINÉ (DIST DE MUCUGÊ)",true,1,TERMO DE PERMISSÃO,CONTRATADO,COMERCIAL,,,true
1102,,"527",SALVADOR,CANARANA,"527 - SALVADOR - CANARANA VIA IPIRÁ",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
1686,,"889.URB",NOVA DIAS D'ÁVILA,ITAPUÃ,"889.URB - NOVA DIAS D'ÁVILA - ITAPUÃ VIA BA099/ AEROPORTO",,,CONTRATO DE CONCESSÃO,CONTRATADO,SEMIURBANO,UNIVALE TRANSPORTES LTDA,"65107971000180",true
702,,"296",SALVADOR,ITABERABA,"296 - SALVADOR - ITABERABA VIA IAÇU",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
455,,"197",ITABUNA,PORTO SEGURO,"197 - ITABUNA - PORTO SEGURO",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,ROTA TRANSPORTES RODOVIARIOS LTDA,"14492342000180",true
1508,,"819I.URB",SIMÕES FILHO,ITAIGARA,"819I.URB - SIMÕES FILHO - ITAIGARA VIA ORLA MARÍTIMA",,,CONTRATO DE CONCESSÃO,CONTRATADO,SEMIURBANO,EXPRESSO METROPOLITANO TRANSPORTES LTDA,"07617476000115",true
1421,,"727",ALAGOINHAS,ACAJUTIBA,"727 - ALAGOINHAS - ACAJUTIBA, VIA APORÁ",,,CONTRATO DE CONCESSÃO,CONTRATADO,COMERCIAL,TRANSOARES TRANSPORTES URBANOS LTDA,"01125308000126",true
361,,"156",FEIRA DE SANTANA,SANTO AMARO,"156 - FEIRA DE SANTANA - SANTO AMARO via BR 324",,,CONTRATO DE CONCESSÃO,CONTRATADO,COMERCIAL,LUA CRESCENTE TRANSPORTE RODOVIARIO E TURISMO EIRELI,"02633328000170",true
1870,,"2274",VITÓRIA DA CONQUISTA,PRESIDENTE JÂNIO QUADROS,"2274 - VITÓRIA DA CONQUISTA - PRESIDENTE JÂNIO QUADROS VIA MAETINGA",true,5,TERMO DE PERMISSÃO,CONTRATADO,COMERCIAL,,,true
566,,"237",SALVADOR,SERRINHA,"237 - SALVADOR - SERRINHA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,PLENNA TRANSPORTES E SERVIÇOS LTDA,"16496572000143",true
1141,,"545",JACOBINA,IRECÊ,"545 - JACOBINA - IRECÊ",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
1668,,"883A3.URB",VIDA NOVA,TERMINAL AEROPORTO,"883A3.URB - VIDA NOVA - TERMINAL AEROPORTO VIA PARQUE SÃO PAULO",,,CONTRATO EMERGENCIAL,ADICIONAL,SEMIURBANO,EXPRESSO LUXO VITORIA LTDA,"10550441000110",true
1502,,"815I.URB",SIMÕES FILHO,TERMINAL DA FRANÇA,"815I.URB - SIMÕES FILHO - TERMINAL DA FRANÇA VIA JARDIM CAMPO VERDE/ SUBURBANA",,,CONTRATO DE CONCESSÃO,CONTRATADO,SEMIURBANO,EXPRESSO METROPOLITANO TRANSPORTES LTDA,"07617476000115",true
1320,,"624A.EXE",SALVADOR,SÍTIO DO CONDE,"624A.EXE - SALVADOR - SÍTIO DO CONDE VIA BA099",,,CONTRATO DE CONCESSÃO,CONTRATADO,EXECUTIVO,ATLANTICO TRANSPORTES LTDA,"08380889000191",true
1868,,"2269",VITÓRIA DA CONQUISTA,CARAÍBAS,"2269 - VITÓRIA DA CONQUISTA - CARAÍBAS VIA LAGOA DO GRAMA",true,1,TERMO DE PERMISSÃO,CONTRATADO,COMERCIAL,,,true
1353,,"645I",BOM DESPACHO,ITABUNA,"645I - BOM DESPACHO - ITABUNA VIA BA001 / ITACARÉ",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO ÁGUIA BRANCA S/A,"27486182000109",true
111,,"054.EXE",SALVADOR,UBATÃ,"054.EXE - SALVADOR - UBATÃ",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,AUTO VIAÇÃO CAMURUJIPE LTDA,"15890809000103",true
483,,"209",ITAPETINGA, MACARANI,"209 - ITAPETINGA - MACARANI",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,ROTA TRANSPORTES RODOVIARIOS LTDA,"14492342000180",true
303,,"129.CAR",SALVADOR,PIRITIBA,"129.CAR - SALVADOR - PIRITIBA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL COM AR-CONDICIONADO,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
676,,"283",ITABERABA,NOVA REDENÇÃO,"283 - ITABERABA - NOVA REDENÇÃO VIA UBIRAITÁ",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,NARCISO EUGENIO GOMES BORGES & CIA LTDA,"04604218000106",true
462,,"197X2",PORTO SEGURO,JEQUIÉ,"197X2 - PORTO SEGURO - JEQUIÉ VIA ITABUNA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL COM AR-CONDICIONADO,ROTA TRANSPORTES RODOVIARIOS LTDA,"14492342000180",true
1851,,"2117",FEIRA DE SANTANA,ITATIM,"2117 - FEIRA DE SANTANA - ITATIM",true,5,TERMO DE PERMISSÃO,CONTRATADO,COMERCIAL,,,true
1679,,"885I.URB",VILA DE ABRANTES,TERMINAL DA FRANÇA,"885I.URB - VILA DE ABRANTES - TERMINAL DA FRANÇA VIA SÃO JOAQUIM",,,CONTRATO DE CONCESSÃO,ADICIONAL,SEMIURBANO,EXPRESSO LUXO VITORIA LTDA,"10550441000110",true
1249,,"592A2",BARREIRAS,MUQUÉM DO SÃO FRANCISCO,"592A2 - BARREIRAS - MUQUÉM DO SÃO FRANCISCO VIA XIQUE-XIQUE",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,EMTRAM EMPRESA DE TRANSPORTES MACAUBENSE LTDA,"16041592000120",true
793,,"341",SANTA MARIA DA VITÓRIA,CORRENTINA,"341 - SANTA MARIA DA VITÓRIA - CORRENTINA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO NOVO HORIZONTE LTDA,"60829264000184",true
1113,,"530",BARREIRAS,ANGICAL,"530 - BARREIRAS - ANGICAL",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,EMTRAM EMPRESA DE TRANSPORTES MACAUBENSE LTDA,"16041592000120",true
966,,"443",JUAZEIRO,SOBRADINHO,"443 - JUAZEIRO - SOBRADINHO",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,JOAFRA TRANSPORTES EIRELI,"04257238000158",true
1196,,"567",ILHÉUS,COLÔNIA DE UNA,"567 - ILHÉUS - COLÔNIA DE UNA VIA UNA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
825,,"363",JEQUIÉ,CRAVOLÂNDIA,"363 - JEQUIÉ - CRAVOLÂNDIA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
243,,"102",SALVADOR,FEIRA DE SANTANA,"102 - SALVADOR - FEIRA DE SANTANA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
1016,,"475.EXE",SALVADOR,UTINGA,"475.EXE - SALVADOR - UTINGA VIA WAGNER",,,CONTRATO DE CONCESSÃO,DIFERENCIADO,EXECUTIVO,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
1437,,"753",TEIXEIRA DE FREITAS,JUERANA,"753 - TEIXEIRA DE FREITAS - JUERANA VIA ALSIBIDIO",,,CONTRATO DE CONCESSÃO,CONTRATADO,COMERCIAL,VIAÇÃO SÃO DOMINGOS LTDA ME,"17212909000106",true
984,,"454R",IBOTIRAMA,BARRA,"454R - IBOTIRAMA - BARRA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,RAPIDO FEDERAL VIACAO LIMITADA,"25634569000130",true
429,,"192",SALVADOR,ITABUNA,"192 - SALVADOR - ITABUNA VIA BR101",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO ÁGUIA BRANCA S/A,"27486182000109",true
858,,"382",JEQUIÉ,IPIAÚ,"382 - JEQUIÉ - IPIAÚ",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
734,,"312",QUEIMADAS,VALENTE,"312 - QUEIMADAS - VALENTE",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,MATHEUS SERRAVALLE & CIA LTDA,"73586232000147",true
359,,"155",SANTO AMARO,SÃO FRANCISCO DO CONDE,"155 - SANTO AMARO - SÃO FRANCISCO DO CONDE",,,CONTRATO DE CONCESSÃO,CONTRATADO,COMERCIAL,LUA CRESCENTE TRANSPORTE RODOVIARIO E TURISMO EIRELI,"02633328000170",true
1315,,"622",ITABUNA,IPIAU,"622 - ITABUNA - IPIAU VIA COARACI",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,ROTA TRANSPORTES RODOVIARIOS LTDA,"14492342000180",true
565,,"236.UMIC",FEIRA DE SANTANA,SERRINHA,"236.UMIC - FEIRA DE SANTANA - SERRINHA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,MICRO COMERCIAL,PLENNA TRANSPORTES E SERVIÇOS LTDA,"16496572000143",true
1896,,"2261",VITÓRIA DA CONQUISTA,DÁRIO MEIRA,"2261 - VITÓRIA DA CONQUISTA - DÁRIO MEIRA",true,2,TERMO DE PERMISSÃO,CONTRATADO,COMERCIAL,,,true
692,,"293.EXE",FEIRA DE SANTANA,AMARGOSA,"293.EXE - FEIRA DE SANTANA - AMARGOSA",,,CONTRATO DE CONCESSÃO - TAC,DIFERENCIADO,EXECUTIVO,TRANSOARES TRANSPORTES URBANOS LTDA,"01125308000126",true
344,,"147A.EXE",SALVADOR,LUIS EDUARDO MAGALHÃES,"147A.EXE - SALVADOR - LUIS EDUARDO MAGALHÃES VIA BARREIRAS",,,CONTRATO DE CONCESSÃO - TAC,DIFERENCIADO,EXECUTIVO,RAPIDO FEDERAL VIACAO LIMITADA,"25634569000130",true
309,,"133",FEIRA DE SANTANA,IPIRÁ,"133 - FEIRA DE SANTANA - IPIRÁ",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,TRANSOARES TRANSPORTES URBANOS LTDA,"01125308000126",true
1120,,"536A",ITABUNA,JEQUIÉ,"536A - ITABUNA - JEQUIÉ VIA JAGUAQUARA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO ÁGUIA BRANCA S/A,"27486182000109",true
1179,,"561",JACOBINA,TAPIRAMUTÁ,"561 - JACOBINA - TAPIRAMUTÁ VIA MIGUEL CALMON",,,CONTRATO DE CONCESSÃO,CONTRATADO,COMERCIAL,TRANSOARES TRANSPORTES URBANOS LTDA,"01125308000126",true
519,,"227",SALVADOR,CONCEIÇÃO DO COITÉ,"227 - SALVADOR - CONCEIÇÃO DO COITÉ VIA SERRINHA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,EXPRESSO SÃO MATHEUS LTDA,"14671572000107",true
559,,"234A.MIC",FEIRA DE SANTANA,SÃO DOMINGOS,"234A.MIC - FEIRA DE SANTANA - SÃO DOMINGOS VIA VALENTE",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,MICRO COMERCIAL,EXPRESSO SÃO MATHEUS LTDA,"14671572000107",true
880,,"396R3",TEIXEIRA DE FREITAS,EUNÁPOLIS,"396R3 - TEIXEIRA DE FREITAS - EUNÁPOLIS",,,CONTRATO DE CONCESSÃO - TAC,CONTRATADO - TAC,COMERCIAL,EXPRESSO BRASILEIRO TRANSPORTES LTDA,"13406285000107",true
660,,"271",SALVADOR,CABACEIRAS DO PARAGUAÇU,"271 - SALVADOR - CABACEIRAS DO PARAGUAÇU VIA GOVERNADOR MANGABEIRA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIACAO JAUA LTDA,"01767998000117",true
396,,"174",ITABUNA,ITAPETINGA,"174 - ITABUNA - ITAPETINGA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,ROTA TRANSPORTES RODOVIARIOS LTDA,"14492342000180",true
594,,"247",FEIRA DE SANTANA,SÃO FELIPE,"247 - FEIRA DE SANTANA - SÃO FELIPE",,,CONTRATO DE CONCESSÃO,CONTRATADO,COMERCIAL,"CRUZ FERNANDES SERVIÇOS, TRANSPORTES E TURISMO LTDA","17385523000104",true
801,,"348",FEIRA DE SANTANA,CAMAÇARI,"348 - FEIRA DE SANTANA - CAMAÇARI VIA PÓLO PETROQUÍMICO",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
1862,,"2175",JUAZEIRO,PORTO DE JUACEMA (POV SENTO SÉ),"2175 - JUAZEIRO - PORTO DE JUACEMA (POV SENTO SÉ)",true,3,TERMO DE PERMISSÃO,CONTRATADO,COMERCIAL,,,true
1358,,"647.CAR",BOM DESPACHO,PORTO SEGURO,"647.CAR - BOM DESPACHO - PORTO SEGURO VIA BA001",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO ÁGUIA BRANCA S/A,"27486182000109",true
463,,"197X2.EXE",PORTO SEGURO,JEQUIÉ,"197X2.EXE - PORTO SEGURO - JEQUIÉ VIA ITABUNA",,,CONTRATO DE CONCESSÃO - TAC,DIFERENCIADO,EXECUTIVO,ROTA TRANSPORTES RODOVIARIOS LTDA,"14492342000180",true
742,,"318",QUEIMADAS,CAMPO FORMOSO,"318 - QUEIMADAS - CAMPO FORMOSO",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,MATHEUS SERRAVALLE & CIA LTDA,"73586232000147",true
957,,"437",ITAMARAJU,PORTO SEGURO,"437 - ITAMARAJU - PORTO SEGURO",,,CONTRATO DE CONCESSÃO - TAC,CONTRATADO - TAC,COMERCIAL,EXPRESSO BRASILEIRO TRANSPORTES LTDA,"13406285000107",true
583,,"243",IRECÊ,SEABRA,"243 - IRECÊ - SEABRA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,EMTRAM EMPRESA DE TRANSPORTES MACAUBENSE LTDA,"16041592000120",true
393,,"172A",ITACARÉ,VITÓRIA DA CONQUISTA,"172A - ITACARÉ - VITÓRIA DA CONQUISTA VIA ITAPETINGA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,ROTA TRANSPORTES RODOVIARIOS LTDA,"14492342000180",true
467,,"200",ITABUNA,BELMONTE,"200 - ITABUNA - BELMONTE",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,ROTA TRANSPORTES RODOVIARIOS LTDA,"14492342000180",true
284,,"118",JEQUIÉ,IBITUPÃ,"118 - JEQUIÉ - IBITUPÃ",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
