"cdlinha","cdlinhapai","nulinha","deorigem","dedestino","dedescricao","slic","nupermissionarios","delinhaoutorga","delinhaservico","declassificacaoveiculo","derazaosocial","decnpjmatriz","boativo"
150,,"072",SALVADOR,MIGUEL CALMON,"072 - SALVADOR - MIGUEL CALMON VIA CAPIM GROSSO",,,CONTRATO DE CONCESSÃO,CONTRATADO,COMERCIAL,TRANSOARES TRANSPORTES URBANOS LTDA,"01125308000126",true
1082,,"516",FEIRA DE SANTANA,RIBEIRA DO POMBAL,"516 - FEIRA DE SANTANA - RIBEIRA DO POMBAL VIA BIRITINGA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,EMPRESA GONTIJO DE TRANSPORTES LTDA,"16624611000140",true
180,,"078",FEIRA DE SANTANA,JUAZEIRO,"078 - FEIRA DE SANTANA - JUAZEIRO",,,CONTRATO DE CONCESSÃO,CONTRATADO,COMERCIAL,ROTA TRANSPORTES RODOVIARIOS LTDA,"14492342000180",true
444,,"193A",SALVADOR,LICÍNIO DE ALMEIDA,"193A - SALVADOR - LICÍNIO DE ALMEIDA VIA CACULÉ e MARACÁS",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO NOVO HORIZONTE LTDA,"60829264000184",true
1702,,"898.URB",NOVA DIAS D'ÁVILA,MATA DE SÃO JOÃO,"898.URB - NOVA DIAS D'ÁVILA - MATA DE SÃO JOÃO VIA BONFIM DE MATA",,,CONTRATO DE CONCESSÃO,CONTRATADO,SEMIURBANO,UNIVALE TRANSPORTES LTDA,"65107971000180",true
516,,"226A",FEIRA DE SANTANA,PATAÍBA,"226A - FEIRA DE SANTANA - PATAÍBA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,PLENNA TRANSPORTES E SERVIÇOS LTDA,"16496572000143",true
370,,"160",BOM JESUS DA LAPA,CARINHANHA,"160 - BOM JESUS DA LAPA - CARINHANHA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO NOVO HORIZONTE LTDA,"60829264000184",true
1123,,"537.CAR",SALVADOR,UBATÃ,"537.CAR - SALVADOR - UBATÃ VIA IBIRATAIA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL COM AR-CONDICIONADO,AUTO VIAÇÃO CAMURUJIPE LTDA,"15890809000103",true
1859,,"2111",SERRINHA,LAMARÃO,"2111 - SERRINHA - LAMARÃO",true,26,TERMO DE PERMISSÃO,CONTRATADO,COMERCIAL,,,true
92,,"047",SALVADOR,FEIRA DE SANTANA,"047 - SALVADOR - FEIRA DE SANTANA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
1106,,"528.ESL",SALVADOR,PAULO AFONSO,"528.ESL - SALVADOR - PAULO AFONSO VIA FEIRA DE SANTANA / TUCANO",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,SEMILEITO EXECUTIVO,VIACAO REGIONAL S/A,"01476325000108",true
1039,,"489",CAMACAN,MACARANI,"489 - CAMACAN - MACARANI VIA ITAIMBÉ",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,ROTA TRANSPORTES RODOVIARIOS LTDA,"14492342000180",true
1707,,"903",CANDEIAS,OUTLET PREMIUM SALVADOR,"903 - CANDEIAS - OUTLET PREMIUM SALVADOR VIA SIMÕES FILHO",,,AUTORIZAÇÃO,CONTRATADO,SEMIURBANO,CASTTUR AGÊNCIA OPERADORA DE TURISMO E TRANSPORTES LTDA,"07405588000102",true
1599,,"855I.URB",AREIA BRANCA,TERMINAL AEROPORTO,"855I.URB - AREIA BRANCA - TERMINAL AEROPORTO",,,CONTRATO EMERGENCIAL,CONTRATADO,SEMIURBANO,EXPRESSO LUXO VITORIA LTDA,"10550441000110",true
1005,,"468",ILHÉUS,BANCO CENTRAL,"468 - ILHÉUS - BANCO CENTRAL VIA URUÇUCA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,ROTA TRANSPORTES RODOVIARIOS LTDA,"14492342000180",true
105,,"053.EXE",ITABUNA,VITÓRIA DA CONQUISTA,"053.EXE - ITABUNA - VITÓRIA DA CONQUISTA VIA IGUAÍ",,,CONTRATO DE CONCESSÃO - TAC,DIFERENCIADO,EXECUTIVO,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
1031,,"484",BARREIRAS,WANDERLEY,"484 - BARREIRAS - WANDERLEY",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,EMTRAM EMPRESA DE TRANSPORTES MACAUBENSE LTDA,"16041592000120",true
875,,"395",JUAZEIRO,CURAÇÁ,"395 - JUAZEIRO - CURAÇÁ",,,CONTRATO DE CONCESSÃO,CONTRATADO,COMERCIAL,ROTA TRANSPORTES RODOVIARIOS LTDA,"14492342000180",true
560,,"235",SALVADOR,SANTA LUZ,"235 - SALVADOR - SANTA LUZ",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,EXPRESSO SÃO MATHEUS LTDA,"14671572000107",true
323,,"140",SALVADOR,CONCEIÇÃO DA FEIRA,"140 - SALVADOR - CONCEIÇÃO DA FEIRA VIA BR. 101",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIACAO REGIONAL S/A,"01476325000108",true
174,,"075.EXE",SALVADOR,CAMPO FORMOSO,"075.EXE - SALVADOR - CAMPO FORMOSO",,,CONTRATO DE CONCESSÃO,DIFERENCIADO,EXECUTIVO,ROTA TRANSPORTES RODOVIARIOS LTDA,"14492342000180",true
1332,,"630",CAMACAN,PAU BRASIL,"630 - CAMACAN - PAU BRASIL",,,CONTRATO DE CONCESSÃO,CONTRATADO,COMERCIAL,A FURLAN EIRELI,"13558887000180",true
808,,"350",SALVADOR,SÃO BENTO DO INHATÁ,"350 - SALVADOR - SÃO BENTO DO INHATÁ",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
391,,"172.EXE",ILHÉUS,VITÓRIA DA CONQUISTA,"172.EXE - ILHÉUS - VITÓRIA DA CONQUISTA VIA ITAPETINGA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,EXECUTIVO,ROTA TRANSPORTES RODOVIARIOS LTDA,"14492342000180",true
1172,,"559I",EUNÁPOLIS,BELMONTE,"559I - EUNÁPOLIS - BELMONTE VIA BA683, BARROLÂNDIA E BA275",,,CONTRATO DE CONCESSÃO - TAC,ADICIONAL,COMERCIAL,EXPRESSO BRASILEIRO TRANSPORTES LTDA,"13406285000107",true
1289,,"603F",VITÓRIA DA CONQUISTA,POSTO DO ROSÁRIO,"603F - VITÓRIA DA CONQUISTA - POSTO DO ROSÁRIO VIA PARAMIRIM / BARREIRAS",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO NOVO HORIZONTE LTDA,"60829264000184",true
1331,,"629",SALVADOR,SUBAÚMA,"629 - SALVADOR - SUBAÚMA VIA BA099",,,CONTRATO DE CONCESSÃO,CONTRATADO,COMERCIAL,ATLANTICO TRANSPORTES LTDA,"08380889000191",true
989,,"458.UMIC",JAGUAQUARA,ITIRUÇU,"458.UMIC - JAGUAQUARA - ITIRUÇU",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,MICRO COMERCIAL,AUTO VIAÇÃO CAMURUJIPE LTDA,"15890809000103",true
376,,"165.CAR",SALVADOR,CASTRO ALVES,"165.CAR - SALVADOR - CASTRO ALVES VIA BR101",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL COM AR-CONDICIONADO,AUTO VIAÇÃO CAMURUJIPE LTDA,"15890809000103",true
779,,"330.EXE",SALVADOR,RUY BARBOSA,"330.EXE - SALVADOR - RUY BARBOSA VIA MACAJUBA",,,CONTRATO DE CONCESSÃO - TAC,DIFERENCIADO,EXECUTIVO,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
1317,,"623",BOM DESPACHO,VITÓRIA DA CONQUISTA,"623 - BOM DESPACHO - VITÓRIA DA CONQUISTA VIA JAGUAQUARA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,AUTO VIAÇÃO CAMURUJIPE LTDA,"15890809000103",true
