"cdlinhaquadrohorario","cdlinha","cdlinhaquadrohorariohora","desentido","dediasemana","hrhorario"
7007,1806,388616,IDA,TER,11:40:00 -0300
7007,1806,388617,IDA,QUA,11:40:00 -0300
7007,1806,388618,IDA,QUI,11:40:00 -0300
7007,1806,388619,IDA,SEX,11:40:00 -0300
7007,1806,388620,IDA,SAB,11:40:00 -0300
7007,1806,388621,IDA,DOM,11:40:00 -0300
7007,1806,388622,VOLTA,SEG,10:20:00 -0300
7007,1806,388623,VOLTA,TER,10:20:00 -0300
7007,1806,388624,VOLTA,QUA,10:20:00 -0300
7007,1806,388625,VOLTA,QUI,10:20:00 -0300
7007,1806,388626,VOLTA,SEX,10:20:00 -0300
7007,1806,388627,VOLTA,SAB,10:20:00 -0300
7007,1806,388628,VOLTA,DOM,10:20:00 -0300
7007,1806,388629,IDA,SEG,12:20:00 -0300
7007,1806,388630,IDA,TER,12:20:00 -0300
7007,1806,388631,IDA,QUA,12:20:00 -0300
7007,1806,388632,IDA,QUI,12:20:00 -0300
7007,1806,388633,IDA,SEX,12:20:00 -0300
7007,1806,388634,IDA,SAB,12:20:00 -0300
7007,1806,388635,IDA,DOM,12:20:00 -0300
7007,1806,388636,VOLTA,SEG,11:00:00 -0300
7007,1806,388637,VOLTA,TER,11:00:00 -0300
7007,1806,388638,VOLTA,QUA,11:00:00 -0300
7007,1806,388639,VOLTA,QUI,11:00:00 -0300
7007,1806,388640,VOLTA,SEX,11:00:00 -0300
7007,1806,388641,VOLTA,SAB,11:00:00 -0300
7007,1806,388642,VOLTA,DOM,11:00:00 -0300
7007,1806,388643,IDA,SEG,13:00:00 -0300
7007,1806,388644,IDA,TER,13:00:00 -0300
7007,1806,388645,IDA,QUA,13:00:00 -0300
7007,1806,388646,IDA,QUI,13:00:00 -0300
7007,1806,388647,IDA,SEX,13:00:00 -0300
7007,1806,388648,IDA,SAB,13:00:00 -0300
7007,1806,388649,IDA,DOM,13:00:00 -0300
7007,1806,388650,VOLTA,SEG,11:40:00 -0300
7007,1806,388651,VOLTA,TER,11:40:00 -0300
7007,1806,388652,VOLTA,QUA,11:40:00 -0300
7007,1806,388653,VOLTA,QUI,11:40:00 -0300
