"cdlinhaitinerario","cdlinha","cdlinhasituacao"
2143,1696,2
2144,1695,2
2151,1476,2
2145,1457,2
2146,1458,2
2152,125,2
2147,1459,2
2153,101,2
2154,1463,2
2155,1642,2
2156,1707,2
2158,1468,2
2157,1467,2
2161,1479,2
2159,1469,2
2160,1466,2
2162,1645,2
2163,1535,2
2164,1037,2
2165,1099,2
2166,1114,2
2167,300,2
2168,316,2
2169,401,2
2170,404,2
2171,598,2
2172,597,2
2173,595,2
2174,961,2
2175,1307,2
2176,1306,2
2177,1391,2
2178,989,2
2179,966,2
2213,1847,2
2180,1415,2
2181,1416,2
2182,1423,2
2183,1424,2
2214,1848,2
2184,1441,2
2185,226,2
2186,290,2
2187,53,2
2188,1303,2
2199,710,2
2200,917,2
2201,918,2
2202,1596,2
2215,1849,2
2203,1448,2
2204,1449,2
2216,1850,2
2205,1450,2
2206,1451,2
2217,1851,2
2207,1452,2
2218,1852,2
2208,1453,2
2219,1853,2
2209,1454,2
2210,1455,2
2230,1864,2
2211,1456,2
2220,1854,2
2212,1399,2
2221,1855,2
2222,1856,2
2223,1857,2
2224,1858,2
2225,1859,2
2226,1860,2
2227,1861,2
2228,1862,2
2231,1865,2
2229,1863,2
2239,1873,2
2232,1866,2
2233,1867,2
2234,1868,2
2235,1869,2
2236,1870,2
2238,1872,2
2240,1874,2
2241,1875,2
2242,1876,2
2243,1877,2
2245,1879,2
2247,1880,2
2246,1878,2
2248,1881,2
2249,1882,2
2250,1883,2
2251,1884,2
2252,1885,2
2253,1886,2
2254,1889,2
2256,1282,2
2257,1891,2
2258,1892,2
2259,1893,2
2260,1894,2
2261,1895,2
2262,1896,2
2263,1897,2
2264,1826,2
2265,1898,2
2266,1899,2
2267,174,2
2268,1900,2
2269,719,2
2270,37,2
2271,795,2
2272,843,2
2274,800,2
